# Matrix elements of the unitary transform
#       from Cartesian to Radial circular harmonic oscillator states
#       up to ell = 23
#       Each matrix element is sign*sqrt(nominator^2/denominator^2)
# nx ny     emm nrn     sign*nominator^2 denominator^2

0 0   0 0   1 1

0 1  -1 0   1 1
1 0   1 0   1 1

0 2   0 1   -1 2
0 2   2 0   -1 2
1 1  -2 0   2 2
2 0   0 1   -1 2
2 0   2 0   1 2

0 3  -1 1   -3 4
0 3  -3 0   -1 4
1 2   1 1   -1 4
1 2   3 0   -3 4
2 1  -1 1   -1 4
2 1  -3 0   3 4
3 0   1 1   -3 4
3 0   3 0   1 4

0 4   0 2   3 8
0 4   2 1   4 8
0 4   4 0   1 8
1 3  -2 1   -4 8
1 3  -4 0   -4 8
2 2   0 2   2 8
2 2   4 0   -6 8
3 1  -2 1   -4 8
3 1  -4 0   4 8
4 0   0 2   3 8
4 0   2 1   -4 8
4 0   4 0   1 8

0 5  -1 2   10 16
0 5  -3 1   5 16
0 5  -5 0   1 16
1 4   1 2   2 16
1 4   3 1   9 16
1 4   5 0   5 16
2 3  -1 2   4 16
2 3  -3 1   -2 16
2 3  -5 0   -10 16
3 2   1 2   4 16
3 2   3 1   2 16
3 2   5 0   -10 16
4 1  -1 2   2 16
4 1  -3 1   -9 16
4 1  -5 0   5 16
5 0   1 2   10 16
5 0   3 1   -5 16
5 0   5 0   1 16

0 6   0 3   -10 32
0 6   2 2   -15 32
0 6   4 1   -6 32
0 6   6 0   -1 32
1 5  -2 2   10 32
1 5  -4 1   16 32
1 5  -6 0   6 32
2 4   0 3   -6 32
2 4   2 2   -1 32
2 4   4 1   10 32
2 4   6 0   15 32
3 3  -2 2   12 32
3 3  -6 0   -20 32
4 2   0 3   -6 32
4 2   2 2   1 32
4 2   4 1   10 32
4 2   6 0   -15 32
5 1  -2 2   10 32
5 1  -4 1   -16 32
5 1  -6 0   6 32
6 0   0 3   -10 32
6 0   2 2   15 32
6 0   4 1   -6 32
6 0   6 0   1 32

0 7  -1 3   -35 64
0 7  -3 2   -21 64
0 7  -5 1   -7 64
0 7  -7 0   -1 64
1 6   1 3   -5 64
1 6   3 2   -27 64
1 6   5 1   -25 64
1 6   7 0   -7 64
2 5  -1 3   -15 64
2 5  -3 2   1 64
2 5  -5 1   27 64
2 5  -7 0   21 64
3 4   1 3   -9 64
3 4   3 2   -15 64
3 4   5 1   5 64
3 4   7 0   35 64
4 3  -1 3   -9 64
4 3  -3 2   15 64
4 3  -5 1   5 64
4 3  -7 0   -35 64
5 2   1 3   -15 64
5 2   3 2   -1 64
5 2   5 1   27 64
5 2   7 0   -21 64
6 1  -1 3   -5 64
6 1  -3 2   27 64
6 1  -5 1   -25 64
6 1  -7 0   7 64
7 0   1 3   -35 64
7 0   3 2   21 64
7 0   5 1   -7 64
7 0   7 0   1 64

0 8   0 4   35 128
0 8   2 3   56 128
0 8   4 2   28 128
0 8   6 1   8 128
0 8   8 0   1 128
1 7  -2 3   -28 128
1 7  -4 2   -56 128
1 7  -6 1   -36 128
1 7  -8 0   -8 128
2 6   0 4   20 128
2 6   2 3   8 128
2 6   4 2   -16 128
2 6   6 1   -56 128
2 6   8 0   -28 128
3 5  -2 3   -36 128
3 5  -4 2   -8 128
3 5  -6 1   28 128
3 5  -8 0   56 128
4 4   0 4   18 128
4 4   4 2   -40 128
4 4   8 0   70 128
5 3  -2 3   -36 128
5 3  -4 2   8 128
5 3  -6 1   28 128
5 3  -8 0   -56 128
6 2   0 4   20 128
6 2   2 3   -8 128
6 2   4 2   -16 128
6 2   6 1   56 128
6 2   8 0   -28 128
7 1  -2 3   -28 128
7 1  -4 2   56 128
7 1  -6 1   -36 128
7 1  -8 0   8 128
8 0   0 4   35 128
8 0   2 3   -56 128
8 0   4 2   28 128
8 0   6 1   -8 128
8 0   8 0   1 128

0 9  -1 4   126 256
0 9  -3 3   84 256
0 9  -5 2   36 256
0 9  -7 1   9 256
0 9  -9 0   1 256
1 8   1 4   14 256
1 8   3 3   84 256
1 8   5 2   100 256
1 8   7 1   49 256
1 8   9 0   9 256
2 7  -1 4   56 256
2 7  -5 2   -64 256
2 7  -7 1   -100 256
2 7  -9 0   -36 256
3 6   1 4   24 256
3 6   3 3   64 256
3 6   7 1   -84 256
3 6   9 0   -84 256
4 5  -1 4   36 256
4 5  -3 3   -24 256
4 5  -5 2   -56 256
4 5  -7 1   14 256
4 5  -9 0   126 256
5 4   1 4   36 256
5 4   3 3   24 256
5 4   5 2   -56 256
5 4   7 1   -14 256
5 4   9 0   126 256
6 3  -1 4   24 256
6 3  -3 3   -64 256
6 3  -7 1   84 256
6 3  -9 0   -84 256
7 2   1 4   56 256
7 2   5 2   -64 256
7 2   7 1   100 256
7 2   9 0   -36 256
8 1  -1 4   14 256
8 1  -3 3   -84 256
8 1  -5 2   100 256
8 1  -7 1   -49 256
8 1  -9 0   9 256
9 0   1 4   126 256
9 0   3 3   -84 256
9 0   5 2   36 256
9 0   7 1   -9 256
9 0   9 0   1 256

0 10   0 5   -126 512
0 10   2 4   -210 512
0 10   4 3   -120 512
0 10   6 2   -45 512
0 10   8 1   -10 512
0 10  10 0   -1 512
1 9  -2 4   84 512
1 9  -4 3   192 512
1 9  -6 2   162 512
1 9  -8 1   64 512
1 9 -10 0   10 512
2 8   0 5   -70 512
2 8   2 4   -42 512
2 8   4 3   24 512
2 8   6 2   169 512
2 8   8 1   162 512
2 8  10 0   45 512
3 7  -2 4   112 512
3 7  -4 3   64 512
3 7  -6 2   -24 512
3 7  -8 1   -192 512
3 7 -10 0   -120 512
4 6   0 5   -60 512
4 6   2 4   -4 512
4 6   4 3   112 512
4 6   6 2   42 512
4 6   8 1   -84 512
4 6  10 0   -210 512
5 5  -2 4   120 512
5 5  -6 2   -140 512
5 5 -10 0   252 512
6 4   0 5   -60 512
6 4   2 4   4 512
6 4   4 3   112 512
6 4   6 2   -42 512
6 4   8 1   -84 512
6 4  10 0   210 512
7 3  -2 4   112 512
7 3  -4 3   -64 512
7 3  -6 2   -24 512
7 3  -8 1   192 512
7 3 -10 0   -120 512
8 2   0 5   -70 512
8 2   2 4   42 512
8 2   4 3   24 512
